record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
50660,No,No,No,14 years old,Male,0 times,1 time,Rarely,2,0 days,Rarely,Sometimes,No,No, , , 
50661,Yes,No,No,14 years old,Male,0 times,1 time,Rarely,2,0 days,Rarely,Sometimes,No,No, , , 
50662,No,Yes,No,13 years old,Male,0 times,12 or more times,Most of the time,3 or more,1 or 2 days,Never,Always,Yes,Yes, , , 
50663,Yes,Yes,Yes,15 years old,Male,1 time,2 or 3 times,Most of the time,3 or more,1 or 2 days,Rarely,Rarely,Yes,Yes,No,Yes,Yes
50664,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Sometimes, ,No,Yes, , , 
50665,No,No,No,13 years old,Male,0 times,2 or 3 times,Never,0,0 days,Always,Always,No,No,No,No,No
50666,No,Yes,No,15 years old,Female,1 time,0 times,Most of the time,1, , , ,Yes, , , , 
50667,Yes,Yes,No,13 years old,Male,1 time,0 times,Most of the time,3 or more,3 to 5 days,Rarely,Always,Yes,Yes,No,Yes,No
50668,No,No,No,16 years old,Male,0 times,1 time,Never,3 or more,0 days,Never,Most of the time,No,No,No,No,No
50669,No,Yes,No,15 years old,Female,1 time,0 times,Rarely,2,1 or 2 days,Most of the time,Sometimes,No,Yes, , , 
50670,No,Yes,No,14 years old,Male,0 times,0 times,Most of the time,0,0 days,Always,Always,Yes,No, , , 
50671,No,No,No,15 years old,Male,0 times,2 or 3 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
50672,Yes,No,Yes,15 years old,Male,0 times,1 time,Most of the time,3 or more,3 to 5 days,Rarely,Sometimes,Yes,Yes, , , 
50673,No,No,No,15 years old,Male,1 time,0 times,Always,3 or more,0 days,Rarely,Rarely,Yes,No, , , 
50674,Yes,No,No,14 years old,Male,0 times,4 or 5 times,Sometimes,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,No,No
50675, ,Yes,No,17 years old,Female,0 times,1 time,Most of the time,0,1 or 2 days,Rarely,Rarely,Yes,Yes,No,No,No
50676,No,No,Yes,17 years old,Male,0 times,2 or 3 times,Most of the time,3 or more,10 or more days,Sometimes,Always,Yes,Yes,No,No,No
50677,Yes,No,No,17 years old,Female,0 times,0 times, ,1,1 or 2 days,Most of the time,Rarely, ,Yes,No,No,No
50678,No,No,No,14 years old,Male,0 times,1 time,Never,3 or more,0 days,Rarely,Rarely,No,No, , , 
50679,No,Yes,No,15 years old,Female,0 times,0 times,Rarely,1,0 days,Rarely,Always,No,No,Yes,No,No
50680,No,Yes,No,15 years old, ,0 times,4 or 5 times,Sometimes,3 or more,3 to 5 days,Most of the time,Sometimes,No,Yes, , , 
50681,No,No,Yes,14 years old,Male,1 time,0 times,Most of the time,0,3 to 5 days,Rarely, ,Yes,Yes, , , 
50682,Yes,No,No,15 years old,Female,1 time,0 times,Most of the time,2,1 or 2 days,Rarely,Most of the time,Yes,Yes, , , 
50683,No,Yes,No,15 years old,Male,1 time,12 or more times,Most of the time,3 or more,3 to 5 days,Most of the time,Always,Yes,Yes,No,Yes,Yes
50684,Yes,Yes,Yes,15 years old,Female,2 or 3 times,1 time,Sometimes,2,0 days,Rarely,Rarely,No,No, , , 
50685,No,No,No,15 years old,Female,0 times,0 times,Rarely,2,1 or 2 days,Most of the time,Always,No,Yes, , , 
50686,No,No,No,15 years old,Male,1 time,1 time,Most of the time,0,0 days,Rarely,Never,Yes,No,No,Yes,Yes
50687,No,No,No,16 years old,Female,0 times,0 times,Never,2,0 days,Always,Always,No,No, , , 
50688,No,No,Yes,15 years old,Female,0 times,2 or 3 times,Most of the time,1,3 to 5 days,Never,Always,Yes,Yes,No,No,No
50689,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,3 to 5 days,Always,Always,No,Yes,No,No,No
50690,Yes,Yes,Yes,15 years old,Female,0 times,1 time,Most of the time,1,6 to 9 days,Always,Never,Yes,Yes,No,No,No
50691,No,No,Yes,17 years old,Male,2 or 3 times,0 times,Rarely,3 or more,3 to 5 days,Always,Never,No,Yes, , , 
50692,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No, , , 
50693,No,No,No,15 years old,Male,0 times,6 or 7 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,Yes,No
50694,Yes,Yes,No,15 years old,Male,2 or 3 times,2 or 3 times,Sometimes,2,1 or 2 days,Rarely,Sometimes,No,Yes,No,Yes,Yes
50695,No,Yes,Yes,15 years old,Female,2 or 3 times,0 times,Most of the time,0,10 or more days,Rarely,Never,Yes,Yes,No,No,No
50696,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Sometimes,No,No, , , 
50697,No,Yes,No,15 years old,Female,0 times,0 times,Sometimes,1,1 or 2 days,Always,Most of the time,No,Yes, , , 
50698,No,No,No,15 years old,Male,0 times,0 times,Never, ,0 days,Always,Always,No,No,No,Yes,No
50699,No,No,No,16 years old,Male,0 times,0 times,Never,2, ,Rarely, ,No, ,No,No,No
50700,Yes,Yes,Yes,16 years old,Male,0 times,0 times,Sometimes,0,6 to 9 days,Most of the time,Most of the time,No,Yes,No,No,No
50701,No,No,No,15 years old,Male,0 times,0 times,Never,2,0 days,Sometimes,Most of the time,No,No,No,No,No
50702,Yes,Yes,No,15 years old,Male,0 times,0 times,Sometimes,0,1 or 2 days,Sometimes,Sometimes,No,Yes,No,Yes,No
50703,No,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No,No,No,No
50704,No,No,No,15 years old,Female,0 times,0 times,Never,1,0 days,Sometimes,Always,No,No, , , 
